objectnummer,leeftijd,soort,plantjaar,stamdiameter,hoogte,monumentaal,beplantingssituatie,locatie,eigenaar,stadsdeel,lon,lat
1,_0_30,Ulmus `Amsterdam`,1974,0-20,,,Bomen in gazon,,Stadsdeel,Oost,4.909159,52.353883
2,_0_30,Ulmus `Amsterdam`,1983,0-20,,,Bomen in gazon,,Stadsdeel,Oost,4.909055,52.353999
3,_0_30,Ulmus `Amsterdam`,1982,0-20,,,Bomen in halfverharding,,Stadsdeel,Oost,4.921607,52.360763
4,_0_30,Ulmus `Amsterdam`,1968,0-20,,,Bomen in halfverharding,,Stadsdeel,Oost,4.921475,52.360816
5,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927439,52.360453
6,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927702,52.360517
7,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.928127,52.360626
8,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.928273,52.360663
9,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927907,52.360571
10,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927175,52.360389
11,_0_30,Ulmus `Columella`,2002,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.928184,52.360788
12,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927496,52.360615
13,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927262,52.360551
14,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.927013,52.360487
15,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.924074,52.362183
16,_0_30,Ulmus `Columella`,2002,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.92795,52.360724
17,_0_30,Ulmus `Columella`,2004,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.92773,52.360679
18,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926822,52.36045
19,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926603,52.360396
20,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926442,52.36035
21,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926207,52.360295
22,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.92631,52.360323
23,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.925975,52.360088
24,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.92618,52.360133
25,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926399,52.360188
26,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926575,52.360234
27,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.926926,52.360325
28,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.928901,52.36098
29,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.930221,52.36112
30,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.929869,52.361055
31,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.929547,52.360973
32,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.929342,52.360928
33,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.929181,52.360882
34,_0_30,Ulmus `Columella`,2003,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.929006,52.360836
35,_0_30,Ulmus `Columella`,1996,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.925601,52.356509
36,_0_30,Ulmus `Columella`,1992,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.911322,52.352049
37,_0_30,Ulmus `Columella`,1996,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.912662,52.35165
38,_0_30,Ulmus `Columella`,1992,0-20,,,Bomen in verharding,,Stadsdeel,Oost,4.91942,52.35662
