AreaManagerId,AreaId,StartDatePaymentMethod,PaymentMethod,PaymentAtExit,PaymentAtPaystation,EndDatePaymentMethod
988,988_STAT,20141001000000,PIN,0,0,
268,268_KELFKB,20141001000000,CASH,0,0,
599,599_COLW,20141001000000,CHIPKNIP,0,0,
988,988_STAD,20141001000000,CASH,0,0,
599,599_KRPL,20141001000000,CHIPKNIP,0,0,
988,988_KROM,20141001000000,CASH,0,0,
988,988_KROM,20141001000000,PIN,0,0,
599,599_BHST,20141001000000,CASH,0,0,
268,268_KEIZK,20141001000000,MOBILE,0,0,
988,988_URSULI,20141001000000,CREDITCARD,0,0,
988,988_BEEKP,20141001000000,CASH,1,0,
988,988_CENT,20141001000000,CHIPKNIP,0,0,
599,599_NWBW,20141001000000,CHIPKNIP,0,0,
599,599_ZMST,20141001000000,CASH,0,0,
599,599_BHST,20141001000000,PIN,0,0,
599,599_STJP,20141001000000,CHIPKNIP,0,0,
988,988_CENT,20141001000000,CASH,0,0,
599,599_KRPL,20141001000000,PIN,0,0,
268,268_KEIZK,20141001000000,PIN,0,0,
268,268_MARBUR,20141001000000,CREDITCARD,0,0,
599,599_STJP,20141001000000,CASH,0,0,
599,599_KIPH,20141001000000,CASH,0,0,
599,599_VERA,20141001000000,PIN,0,0,
268,268_KELFKB,20141001000000,MOBILE,0,0,
268,268_MARBUR,20141001000000,CASH,0,0,
268,268_EIERM,20141001000000,MOBILE,0,0,
988,988_STAD,20141001000000,CREDITCARD,0,0,
599,599_ERMB,20141001000000,PIN,0,0,
268,268_MARBUR,20141001000000,MOBILE,0,0,
599,599_COLW,20141001000000,PIN,0,0,
268,268_KELFKB,20141001000000,PIN,0,0,
599,599_STJP,20141001000000,CREDITCARD,0,0,
268,268_KEIZK,20141001000000,CASH,0,0,
599,599_MATP,20141001000000,CHIPKNIP,0,0,
599,599_COLW,20141001000000,CASH,0,0,
268,268_KEIZK,20141001000000,CHIPKNIP,0,0,
268,268_MARBUR,20141001000000,CHIPKNIP,0,0,
599,599_ERMB,20141001000000,CREDITCARD,0,0,
599,599_VERA,20141001000000,CASH,0,0,
599,599_ZMST,20141001000000,PIN,0,0,
599,599_MATP,20141001000000,PIN,0,0,
988,988_WALBUR,20141001000000,CHIPKNIP,0,0,
599,599_OUHA,20141001000000,CASH,0,0,
988,988_WALBUR,20141001000000,CREDITCARD,0,0,
988,988_WALBUR,20141001000000,CASH,0,0,
268,268_KELFKB,20141001000000,CREDITCARD,0,0,
599,599_STJP,20141001000000,PIN,0,0,
599,599_KIPH,20141001000000,CREDITCARD,0,0,
599,599_KIPH,20141001000000,CHIPKNIP,0,0,
988,988_STAT,20141001000000,CREDITCARD,0,0,
599,599_NWBW,20141001000000,PIN,0,0,
599,599_BHST,20141001000000,CHIPKNIP,0,0,
268,268_EIERM,20141001000000,CASH,0,0,
599,599_KRPL,20141001000000,CREDITCARD,0,0,
988,988_URSULI,20141001000000,PIN,0,0,
268,268_MOLPDK,20141001000000,MOBILE,0,0,
268,268_KEIZK,20141001000000,CREDITCARD,0,0,
